route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
1,SMTTAJU,001,001 – Augusto Franco / Bugio,,3,,,
2,SMTTAJU,002,002 – Fernando Collor / D.I.A.,,3,,,
3,SMTTAJU,003,003 – João Alves / Orlando Dantas,,3,,,
4,SMTTAJU,004,004 – Santa Maria / Mercado,,3,,,
5,SMTTAJU,005,005 – Maracaju / D.I.A.,,3,,,
6,SMTTAJU,007,007 – Fernando Collor / Atalaia,,3,,,
7,SMTTAJU,008,008 – Porto Sul / Bairro Industrial,,3,,,
8,SMTTAJU,009,009 – Terminal Marcos Freire / Atalaia,,3,,,
9,SMTTAJU,020,020 – Piabeta / D.I.A.,,3,,,
10,SMTTAJU,030,030 – Marcos Freire I E III / D.I.A.,,3,,,
11,SMTTAJU,031,031 – Eduardo Gomes / Desembargador Maynard,,3,,,
12,SMTTAJU,032-1,032-1 – Tijuquinha / Osvaldo Aranha 01,,3,,,
13,SMTTAJU,032-2,032-2 – Tijuquinha / Osvaldo Aranha 02,,3,,,
14,SMTTAJU,033,033 – Terminal Rodoviário / Desembargador Maynard,,3,,,
15,SMTTAJU,034,034 – Terminal Rodoviário / Lourival Batista,,3,,,
16,SMTTAJU,035,035 – Terminal Rodoviário / Nova Saneamento,,3,,,
17,SMTTAJU,040,040 – Marcos Freire II / D.I.A.,,3,,,
18,SMTTAJU,040A,040A – Marcos Freire II / Atalaia,,3,,,
19,SMTTAJU,050,050 – Campus / Hospital Universitário,,3,,,
20,SMTTAJU,051,051 – Atalaia / Centro,,3,,,
21,SMTTAJU,060,060 – Padre Pedro / Campus,,3,,,
22,SMTTAJU,061,061 – Marcos Freire / Centro,,3,,,
23,SMTTAJU,062,062 – Piabeta / Centro,,3,,,
24,SMTTAJU,062B,062B – Piabeta / Mercado,,3,,,
25,SMTTAJU,063,063 – Albano Franco / Centro,,3,,,
26,SMTTAJU,064,064 – Albano Franco / Centro,,3,,,
